Date,Time,Level,Message
2025-08-16,13:06:30:755951,INFO,Launching browser
2025-08-16,13:06:33:178612,INFO,Retrieving login page 'https://mega.nz/login'
2025-08-16,13:06:41:325765,INFO,Login button clicked
2025-08-16,13:06:41:326038,INFO,Waiting for homepage to load...
2025-08-16,13:06:46:831651,INFO,Logged in successfully and homepage loaded.
2025-08-16,13:06:55:388193,INFO,Getting storage details from 'https://mega.nz/fm/dashboard'
2025-08-16,13:06:55:388523,DEBUG,Profile name: qing chy
2025-08-16,13:06:55:388769,DEBUG,Email: 
2025-08-16,13:06:55:388962,DEBUG,Plan: 
2025-08-16,13:06:55:427290,DEBUG,Cloud drive: 0 MB
2025-08-16,13:06:55:447367,DEBUG,Backups: 0 MB
2025-08-16,13:06:55:532023,DEBUG,Versions: (0 B)
2025-08-16,13:06:55:564266,DEBUG,Rubbish bin: (0 B)
2025-08-16,13:06:55:584531,DEBUG,Available: (19.27 GB)
2025-08-16,13:06:55:584817,INFO,Tasks complete. Closing browser.
2025-08-16,13:07:06:419229,INFO,Launching browser
2025-08-16,13:07:08:301240,INFO,Retrieving login page 'https://mega.nz/login'
2025-08-16,13:07:17:810329,INFO,Login button clicked
2025-08-16,13:07:17:810580,INFO,Waiting for homepage to load...
2025-08-16,13:07:24:649898,INFO,Logged in successfully and homepage loaded.
2025-08-16,13:07:32:083715,INFO,Getting storage details from 'https://mega.nz/fm/dashboard'
2025-08-16,13:07:32:084252,DEBUG,Profile name: Pamela Stein
2025-08-16,13:07:32:085021,DEBUG,Email: 
2025-08-16,13:07:32:085249,DEBUG,Plan: 
2025-08-16,13:07:32:123776,DEBUG,Cloud drive: 0 MB
2025-08-16,13:07:32:145200,DEBUG,Backups: 0 MB
2025-08-16,13:07:32:168523,DEBUG,Versions: 0 MB
2025-08-16,13:07:32:188496,DEBUG,Rubbish bin: 0 MB
2025-08-16,13:07:32:208310,DEBUG,Available: 0 MB
2025-08-16,13:07:32:208954,INFO,Tasks complete. Closing browser.
2025-08-16,13:07:38:539400,INFO,Launching browser
2025-08-16,13:07:40:207841,INFO,Retrieving login page 'https://mega.nz/login'
2025-08-16,13:07:48:057912,INFO,Login button clicked
2025-08-16,13:07:48:058265,INFO,Waiting for homepage to load...
2025-08-16,13:07:53:246112,INFO,Logged in successfully and homepage loaded.
2025-08-16,13:08:01:990776,INFO,Getting storage details from 'https://mega.nz/fm/dashboard'
2025-08-16,13:08:01:991049,DEBUG,Profile name: Natalie Jones
2025-08-16,13:08:01:991200,DEBUG,Email: 
2025-08-16,13:08:01:991476,DEBUG,Plan: 
2025-08-16,13:08:02:052816,DEBUG,Cloud drive: 0 MB
2025-08-16,13:08:02:084030,DEBUG,Backups: 0 MB
2025-08-16,13:08:02:111257,DEBUG,Versions: 0 MB
2025-08-16,13:08:02:139456,DEBUG,Rubbish bin: 0 MB
2025-08-16,13:08:02:160020,DEBUG,Available: 0 MB
2025-08-16,13:08:02:160218,INFO,Tasks complete. Closing browser.
2025-08-16,13:08:08:673997,INFO,Launching browser
2025-08-16,13:08:10:262949,INFO,Retrieving login page 'https://mega.nz/login'
2025-08-16,13:08:18:143440,INFO,Login button clicked
2025-08-16,13:08:18:143623,INFO,Waiting for homepage to load...
